user,platform,komentar,timestamp,sentimen
ika33,Instagram,"Hati-hati omongan, banyak yg denger loh",2024-12-23 15:29:15,negatif
xandriani,Instagram,"Islam tuh lembut, bukan hina-hina orang jualan",2024-12-23 15:15:50,negatif
gadang89,Instagram,"Seharusnya klarifikasi sih, ini udah bikin resah",2024-12-23 15:09:59,negatif
harja59,Instagram,"Ustadz tuh panutan, jangan ngomong kasar dong",2024-12-23 15:50:57,negatif
irwanyuliarti,Instagram,Nyesek sih liat ustadz ngomong kayak gini 😔,2024-12-23 15:58:50,negatif
uli45,Instagram,Beneran sedih denger ini dari seorang ustadz,2024-12-23 15:05:36,negatif
yolandaeja,Instagram,Ceramah harusnya ngajak kebaikan bukan malah nyakitin,2024-12-23 15:24:27,negatif
raina23,Instagram,"Ustadz tuh panutan, jangan ngomong kasar dong",2024-12-23 15:24:41,negatif
janetnuraini,Instagram,"Kalau becanda, becanda aja ga usah bawa goblok-goblokan",2024-12-23 15:14:37,negatif
halimarahimah,Instagram,"Ustadz tuh panutan, jangan ngomong kasar dong",2024-12-23 15:54:44,negatif
asirwada90,Instagram,"Ustadz tuh panutan, jangan ngomong kasar dong",2024-12-23 15:53:33,negatif
cwidiastuti,Instagram,Jadi takut ikut pengajian kalo gini modelnya,2024-12-23 15:37:36,negatif
bakda38,Instagram,"Pak ustadz harus lebih bijak, ini udah ga lucu",2024-12-23 15:54:52,negatif
dimas72,Instagram,Beneran sedih denger ini dari seorang ustadz,2024-12-23 15:00:36,negatif
zahra54,Instagram,ga tau mau bilang apa,2024-12-23 15:40:41,netral
umaya61,Instagram,hmm no comment deh,2024-12-23 15:21:53,netral
cnuraini,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:43:37,netral
jonozulaika,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:37:06,positif
gwacana,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:35:41,positif
kasiyahwinarsih,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:29:22,negatif
isihotang,Instagram,biasa aja sih,2024-12-23 15:49:53,netral
yuliartipranawa,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:20:22,positif
kemalprakasa,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:38:16,positif
almirafirmansyah,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:24:49,negatif
salsabila58,Instagram,biasa aja sih,2024-12-23 15:03:21,netral
cayadianggriawan,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:23:58,positif
pwibowo,Instagram,hmm no comment deh,2024-12-23 15:36:02,netral
simonsitumorang,Instagram,tergantung yg nonton juga sih,2024-12-23 15:10:08,netral
kartikaagustina,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:33:34,positif
kenes51,Instagram,ga tau mau bilang apa,2024-12-23 15:14:15,netral
jpratama,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:37:47,negatif
puspasariargono,Instagram,biasa aja sih,2024-12-23 15:50:31,netral
kemalrahayu,Instagram,tergantung yg nonton juga sih,2024-12-23 15:30:42,netral
spurwanti,Instagram,hmm no comment deh,2024-12-23 15:51:49,netral
queen30,Instagram,biasa aja sih,2024-12-23 15:51:20,netral
shabibi,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:51:18,positif
naradisaptono,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:34:44,positif
elvinauwais,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:46:44,negatif
samsullestari,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:27:55,positif
lailasarianastasia,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:26:50,positif
dharyanti,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:29:33,positif
hasanahgenta,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:14:49,negatif
diah61,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:24:39,netral
vivithamrin,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:55:44,positif
simanjuntakcapa,Instagram,ceramah apaan malah ngehina,2024-12-23 15:39:28,negatif
bhalimah,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:10:56,negatif
prayogabaktiono,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:32:52,negatif
nasrullah31,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:53:08,positif
asmadi35,Instagram,ceramah apaan malah ngehina,2024-12-23 15:27:35,negatif
gara14,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:50:00,negatif
imam35,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:15:43,positif
joko99,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:51:09,positif
legawibowo,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:25:05,negatif
hartanawibowo,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:42:14,positif
ywidodo,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:48:49,positif
iwijayanti,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:47:53,positif
queen12,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:21:50,positif
rafinababan,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:48:14,negatif
qori33,Instagram,ceramah apaan malah ngehina,2024-12-23 15:28:50,negatif
maryanto40,Instagram,ga tau mau bilang apa,2024-12-23 15:46:59,netral
yuni76,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:15:36,positif
prakasacarla,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:08:25,netral
bprastuti,Instagram,biasa aja sih,2024-12-23 15:21:51,netral
eka51,Instagram,ga tau mau bilang apa,2024-12-23 15:50:54,netral
rrajasa,Instagram,tergantung yg nonton juga sih,2024-12-23 15:52:56,netral
naradimulyani,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:01:11,netral
gandi44,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:05:32,positif
clazuardi,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:23:10,positif
edisonpradipta,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:31:53,positif
nwaluyo,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:49:47,positif
phariyah,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:37:58,positif
tambaeka,Instagram,ga tau mau bilang apa,2024-12-23 15:09:45,netral
lalasuartini,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:48:38,negatif
marsito59,Instagram,biasa aja sih,2024-12-23 15:06:23,netral
bagas66,Instagram,tergantung yg nonton juga sih,2024-12-23 15:55:13,netral
wulandarigalur,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:11:17,positif
imahendra,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:05:10,negatif
narjijailani,Instagram,tergantung yg nonton juga sih,2024-12-23 15:36:04,netral
nainggolanibun,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:24:39,negatif
rachel55,Instagram,ceramah apaan malah ngehina,2024-12-23 15:18:27,negatif
sdongoran,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:53:44,negatif
martanapudjiastuti,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:21:24,negatif
edi42,Instagram,ceramah apaan malah ngehina,2024-12-23 15:46:07,negatif
imam50,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:12:48,negatif
jumarimandala,Instagram,tergantung yg nonton juga sih,2024-12-23 15:34:15,netral
atmadongoran,Instagram,biasa aja sih,2024-12-23 15:13:15,netral
msuryatmi,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:00:54,positif
mardhiyahkambali,Instagram,tergantung yg nonton juga sih,2024-12-23 15:29:48,netral
rsamosir,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:05:46,negatif
daryaniwaluyo,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:37:28,negatif
haripudjiastuti,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:45:07,negatif
asmuni13,Instagram,ga tau mau bilang apa,2024-12-23 15:33:36,netral
januargaiman,Instagram,ceramah apaan malah ngehina,2024-12-23 15:18:35,negatif
gprasetyo,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:41:45,netral
nugrohodacin,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:57:14,negatif
kpudjiastuti,Instagram,hmm no comment deh,2024-12-23 15:41:37,netral
qhartati,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:23:01,positif
radenkuswandari,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:35:33,negatif
pertiwipuspa,Instagram,ga tau mau bilang apa,2024-12-23 15:47:18,netral
lnuraini,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:20:19,negatif
cakrajiya34,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:49:28,negatif
firgantorojulia,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:07:16,positif
samiah59,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:05:38,netral
ghaliyati82,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:44:27,negatif
purwadi66,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:50:02,negatif
prasastatari,Instagram,biasa aja sih,2024-12-23 15:38:52,netral
jarwamangunsong,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:23:31,negatif
violet59,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:23:16,positif
gfarida,Instagram,biasa aja sih,2024-12-23 15:18:08,netral
prastutisabrina,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:24:03,positif
cawisadiutami,Instagram,biasa aja sih,2024-12-23 15:35:04,netral
saragihbalamantri,Instagram,hmm no comment deh,2024-12-23 15:33:30,netral
kasimfirgantoro,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:33:18,positif
wwaluyo,Instagram,ga tau mau bilang apa,2024-12-23 15:53:55,netral
sihotangputi,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:40:02,positif
taniamandasari,Instagram,hmm no comment deh,2024-12-23 15:00:50,netral
vwahyuni,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:22:08,positif
kuncarapangestu,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:00:32,positif
nurdiyantilukita,Instagram,ceramah apaan malah ngehina,2024-12-23 15:29:14,negatif
hastutiputu,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:59:30,positif
fpudjiastuti,Instagram,biasa aja sih,2024-12-23 15:50:33,netral
bhutasoit,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:29:21,netral
susantioliva,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:05:27,negatif
oktavianifebi,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:52:48,negatif
dimaz07,Instagram,tergantung yg nonton juga sih,2024-12-23 15:51:57,netral
enugroho,Instagram,hmm no comment deh,2024-12-23 15:24:48,netral
cakrabuana15,Instagram,ceramah apaan malah ngehina,2024-12-23 15:10:58,negatif
upradipta,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:41:55,positif
ivanadriansyah,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:49:58,positif
ypuspita,Instagram,hmm no comment deh,2024-12-23 15:13:07,netral
makara15,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:39:47,negatif
smarbun,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:44:56,positif
septi15,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:08:42,negatif
xsinaga,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:30:03,positif
prayogacakrajiya,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:20:46,negatif
muhammad10,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:45:35,positif
prasetyamaheswara,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:49:58,negatif
nasyiahpanji,Instagram,hmm no comment deh,2024-12-23 15:59:30,netral
chelseapradipta,Instagram,ga tau mau bilang apa,2024-12-23 15:15:28,netral
kutama,Instagram,hmm no comment deh,2024-12-23 15:31:10,netral
galuhsuartini,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:59:57,negatif
virmansafitri,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:47:46,positif
fitria83,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:19:10,negatif
rajasanabila,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:48:32,negatif
budimangina,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:55:01,positif
zmandasari,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:30:39,negatif
ehutasoit,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:36:28,negatif
karen53,Instagram,tergantung yg nonton juga sih,2024-12-23 15:08:24,netral
calista63,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:18:17,positif
maheswarabakidin,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:21:22,positif
raden47,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:40:02,negatif
bsuryatmi,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:26:03,positif
hhutagalung,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:20:19,positif
koko29,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:18:17,negatif
margana29,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:35:09,positif
