user,platform,komentar,timestamp,sentimen,cleaned_komentar
ika33,Instagram,"Hati-hati omongan, banyak yg denger loh",2024-12-23 15:29:15,negatif,hatihati omong yg denger loh
xandriani,Instagram,"Islam tuh lembut, bukan hina-hina orang jualan",2024-12-23 15:15:50,negatif,islam tuh lembut hinahina orang jual
gadang89,Instagram,"Seharusnya klarifikasi sih, ini udah bikin resah",2024-12-23 15:09:59,negatif,klarifikasi sih udah bikin resah
harja59,Instagram,"Ustadz tuh panutan, jangan ngomong kasar dong",2024-12-23 15:50:57,negatif,ustadz tuh panutan ngomong kasar
irwanyuliarti,Instagram,Nyesek sih liat ustadz ngomong kayak gini 😔,2024-12-23 15:58:50,negatif,nyesek sih liat ustadz ngomong kayak gin
uli45,Instagram,Beneran sedih denger ini dari seorang ustadz,2024-12-23 15:05:36,negatif,beneran sedih denger ustadz
yolandaeja,Instagram,Ceramah harusnya ngajak kebaikan bukan malah nyakitin,2024-12-23 15:24:27,negatif,ceramah ngajak baik nyakitin
raina23,Instagram,"Ustadz tuh panutan, jangan ngomong kasar dong",2024-12-23 15:24:41,negatif,ustadz tuh panutan ngomong kasar
janetnuraini,Instagram,"Kalau becanda, becanda aja ga usah bawa goblok-goblokan",2024-12-23 15:14:37,negatif,becanda becanda aja ga bawa goblokgoblokan
halimarahimah,Instagram,"Ustadz tuh panutan, jangan ngomong kasar dong",2024-12-23 15:54:44,negatif,ustadz tuh panutan ngomong kasar
asirwada90,Instagram,"Ustadz tuh panutan, jangan ngomong kasar dong",2024-12-23 15:53:33,negatif,ustadz tuh panutan ngomong kasar
cwidiastuti,Instagram,Jadi takut ikut pengajian kalo gini modelnya,2024-12-23 15:37:36,negatif,takut aji kalo gin model
bakda38,Instagram,"Pak ustadz harus lebih bijak, ini udah ga lucu",2024-12-23 15:54:52,negatif,ustadz bijak udah ga lucu
dimas72,Instagram,Beneran sedih denger ini dari seorang ustadz,2024-12-23 15:00:36,negatif,beneran sedih denger ustadz
zahra54,Instagram,ga tau mau bilang apa,2024-12-23 15:40:41,netral,ga tau bilang
umaya61,Instagram,hmm no comment deh,2024-12-23 15:21:53,netral,hmm no comment deh
cnuraini,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:43:37,netral,netral aja sih gw liat
jonozulaika,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:37:06,positif,gw tuju sih ama omong gus
gwacana,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:35:41,positif,bener sih kadang netizen baper
kasiyahwinarsih,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:29:22,negatif,sih udah lewat batas
isihotang,Instagram,biasa aja sih,2024-12-23 15:49:53,netral,aja sih
yuliartipranawa,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:20:22,positif,jujurly lucu banget sih
kemalprakasa,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:38:16,positif,biar keras niat
almirafirmansyah,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:24:49,negatif,jual es teh jd insecure
salsabila58,Instagram,biasa aja sih,2024-12-23 15:03:21,netral,aja sih
cayadianggriawan,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:23:58,positif,jujurly lucu banget sih
pwibowo,Instagram,hmm no comment deh,2024-12-23 15:36:02,netral,hmm no comment deh
simonsitumorang,Instagram,tergantung yg nonton juga sih,2024-12-23 15:10:08,netral,gantung yg nonton sih
kartikaagustina,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:33:34,positif,ceramah tetep dapet relax aja guys
kenes51,Instagram,ga tau mau bilang apa,2024-12-23 15:14:15,netral,ga tau bilang
jpratama,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:37:47,negatif,gus miftah maaf sih
puspasariargono,Instagram,biasa aja sih,2024-12-23 15:50:31,netral,aja sih
kemalrahayu,Instagram,tergantung yg nonton juga sih,2024-12-23 15:30:42,netral,gantung yg nonton sih
spurwanti,Instagram,hmm no comment deh,2024-12-23 15:51:49,netral,hmm no comment deh
queen30,Instagram,biasa aja sih,2024-12-23 15:51:20,netral,aja sih
shabibi,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:51:18,positif,gw tuju sih ama omong gus
naradisaptono,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:34:44,positif,gw tuju sih ama omong gus
elvinauwais,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:46:44,negatif,jual es teh jd insecure
samsullestari,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:27:55,positif,bener sih kadang netizen baper
lailasarianastasia,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:26:50,positif,bener sih kadang netizen baper
dharyanti,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:29:33,positif,bener sih kadang netizen baper
hasanahgenta,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:14:49,negatif,gus miftah maaf sih
diah61,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:24:39,netral,netral aja sih gw liat
vivithamrin,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:55:44,positif,bener sih kadang netizen baper
simanjuntakcapa,Instagram,ceramah apaan malah ngehina,2024-12-23 15:39:28,negatif,ceramah ngehina
bhalimah,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:10:56,negatif,gus miftah maaf sih
prayogabaktiono,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:32:52,negatif,ga sopan bgt ngomong gitu
nasrullah31,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:53:08,positif,ni gus emg aja laku
asmadi35,Instagram,ceramah apaan malah ngehina,2024-12-23 15:27:35,negatif,ceramah ngehina
gara14,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:50:00,negatif,ga lucu nyakitin hati yg jual
imam35,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:15:43,positif,jujurly lucu banget sih
joko99,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:51:09,positif,bener sih kadang netizen baper
legawibowo,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:25:05,negatif,gus miftah maaf sih
hartanawibowo,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:42:14,positif,biar keras niat
ywidodo,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:48:49,positif,ni gus emg aja laku
iwijayanti,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:47:53,positif,jujurly lucu banget sih
queen12,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:21:50,positif,ni gus emg aja laku
rafinababan,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:48:14,negatif,jual es teh jd insecure
qori33,Instagram,ceramah apaan malah ngehina,2024-12-23 15:28:50,negatif,ceramah ngehina
maryanto40,Instagram,ga tau mau bilang apa,2024-12-23 15:46:59,netral,ga tau bilang
yuni76,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:15:36,positif,ni gus emg aja laku
prakasacarla,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:08:25,netral,netral aja sih gw liat
